id,name,type,cost,vp,count,description,flavor_text
REG3_DIS_01,以弗所銀匠偶像暴動,災禍,0,0,1,持續災禍：全城陷入瘋狂偶像狂熱！全場所有講道檢定門檻 +3，且每輪黃昏全體使徒若未處於庇護地點扣 2 HP！解法：累積【和平忍耐】與【溫柔謙卑】檢定達 DC 22 平息。,「這保羅引誘迷惑眾人，說：人手所做的，不是神。亞底米神廟的威勢也要銷滅了！」
REG3_DIS_02,尼祿火刑審判敕令,災禍,0,0,1,持續災禍：羅馬皇帝頒布血腥禁令，使徒被視為帝國之敵！每輪黃昏全隊強制扣除 2 點虔誠或 2 點 HP！解法：成全大能者【羅馬巡撫】或【該撒家信徒】方能撤銷禁令。,「將他們披上獸皮，任由惡犬撕裂，或釘在十字架上，在夜幕降臨時點燃當作火把照亮花園。」
REG3_DIS_03,虛空哲學與諾斯底思潮,災禍,0,0,1,持續災禍：希臘智慧驕傲蔓延！所有使徒【信實良善】天花板上限強制降 2 點；心門敞開之百姓若未於當前回合受洗將重新閉鎖！解法：在學房或亞略巴古累計 3 次辯道成功。,你們要謹慎，恐怕有人用他的哲學和虛空的妄言，不照著基督，乃照人間的遺傳和世上的小學，就把你們擄去。
REG3_TRL_01,亞略巴古未識之神哲學大辯,複合試煉,0,0,1,複合檢定：【信實良善】DC 12 ＋【和平忍耐】DC 12。｜雙過：以超然智慧辯服希臘哲士，亞略巴古心門大開，全隊虔誠 +4！｜失敗：被譏誚為胡言亂語，信實罪惡 +2（自傲沮喪）。,「眾位雅典人哪，我看你們凡事很敬畏鬼神。你們所不認識而敬拜的，我現在告訴你們。」
REG3_TRL_02,腓立比獄中夜半讚美歌唱,複合試煉,0,0,1,複合檢定：【喜樂熱心】DC 12 ＋【忍耐寬容】DC 10。｜雙過：地大震動獄門全開，鎖鏈脫落！全隊虔誠回滿，禁卒全家震撼！｜失敗：受鞭傷劇痛陷入哀號，HP -3。,約在半夜，保羅和西拉禱告，唱詩讚美神，眾囚犯也側耳而聽。忽然，地大震動，甚至監牢的地基都搖動了。
REG3_TRL_03,焚燒五萬塊錢邪術異教書卷,複合試煉,0,0,1,複合檢定：【信實良善】DC 12 ＋【節制克己】DC 10。｜雙過：全城巫術破除，巨額財寶當場焚燬，主的道大大得勝，全隊獲 3 祈禱代幣！｜失敗：被貪婪私心牽制，罪惡值 +3。,平素行邪術的，也有許多人把書拿來，堆在眾人面前焚燒。他們算計書價，便知道共合五萬塊錢。
REG3_TRL_04,地中海十四晝夜友拉革羅大狂風,複合試煉,0,0,1,複合檢定：【忍耐寬容】DC 12 ＋【仁愛施予】DC 10。｜雙過：保全全船二百七十六人性命無一人失落，全隊虔誠 +3 且得船員敬服！｜失敗：全船驚慌失措，全隊失去 2 糧食與 2 點 HP。,太陽和星辰多日不顯露，又有狂風大浪催逼，我們得救的指望就都絕了。保羅站在眾人中間說：「各位可以放心！」
REG3_TRL_05,米利大島毒蛇咬手之神蹟,複合試煉,0,0,1,複合檢定：【信實良善】DC 12 ＋【節制克己】DC 10。｜雙過：毒蛇甩在火中竟不受任何傷害，土人轉念尊使徒為神使，全隊獲 2 糧食！｜失敗：蛇毒入侵發高燒，HP -4 且本輪無法移動。,有一隻毒蛇，因為熱了出來，咬住他的手。土人看見那毒蛇懸在他手上，保羅竟把那毒蛇甩在火裡，並沒有受害。
REG3_TRL_06,哥林多教會混亂與方言紛爭,複合試煉,0,0,1,複合檢定：【溫柔謙卑】DC 12 ＋【和平忍耐】DC 10。｜雙過：以最妙的道（愛篇）調和恩賜，凡事按著規矩和次序行，團契秩序恢復！｜失敗：恩賜爭競驕傲，全隊罪惡各 +1。,我若能說萬人的方言，並天使的話語，卻沒有愛，我就成了鳴的鑼，響的鈸一般。
REG3_TRL_07,斯多亞學派的冷酷宿命論質疑,試煉,0,0,1,檢定：【信實良善】DC 12。｜成功：講明創造天地主宰的愛與復活盼望，哲人動容！｜失敗：陷入枯燥思辨，本輪行動點 -1。,還有伊壁鳩魯和斯多亞兩門的哲學家，也與他爭辯。有的說：「這胡言亂語的要說什麼？」
