id,name,type,cost,vp,count,description,flavor_text
REG1_DIS_01,大公會的嚴厲查禁,災禍,0,0,1,持續災禍：全體使徒公開傳道難度門檻 +4。若 2 輪內未平息，每輪全體失去 2 點虔誠。,「我們不是嚴嚴地吩咐你們，不可奉這名教訓人嗎？」
REG1_DIS_02,全城大飢荒,災禍,0,0,1,持續災禍：每輪結束全隊需消耗雙倍糧食，否則每人扣 4 點生命。,天無甘霖，地產枯槁，城中窮人流落街頭哀哭。
REG1_DIS_03,寡婦分糧的紛爭抱怨,災禍,0,0,1,持續災禍：考驗教會合一。每輪黃昏若未成全聖徒，全隊使徒罪惡值各 +1（嫉妒與紛爭）。,說希臘話的猶太人向希伯來人發怨言，因在天天的供給上忽略了他們的寡婦。
REG1_TRL_01,公會受審與鞭笞,複合試煉,0,0,1,複合檢定：【信實良善】目標 10 點（放膽直言）＋【和平忍耐】目標 10 點（受苦不發怨言）。｜雙過：生命 -2，全隊虔誠 +4，且目擊平民 1 人直接歸主！｜信實過忍耐敗：保住信仰但 生命 -5。｜信實敗忍耐過：免皮肉苦但虔誠 -4 且罪惡 +2。｜雙敗：生命 -6、虔誠 -4、罪惡 +3！,使徒離開公會，心裡歡喜，因被算是配為這名受辱。
REG1_TRL_02,術士西門的金錢誘惑,複合試煉,0,0,1,複合檢定：【信實良善】目標 12 點（識破偽術）＋【節制克己】目標 10 點（拒絕大額金銀）。｜雙過：斥責貪慾，全隊聖潔，吸引 1 名尋道者前來。｜若屈服接受：獲得 4 物資，但罪惡值 +5，神蹟能力封印 2 輪！｜檢定失敗：陷入貪婪試探，每輪失去 2 點虔誠直到認罪。,「你的銀子跟你一同滅亡吧！因你想神的恩賜是可以用錢買的。」
REG1_TRL_03,為逼迫者代求的石刑,複合試煉,0,0,1,複合檢定：【仁愛施予】目標 10 點（為仇敵代求）＋【溫柔謙卑】目標 10 點（靈魂交託神）。｜雙過：使徒受傷 生命 -3，但大愛震動人心，城中一名大能者心門被暗中鬆動！｜部分過：生命 -4。｜雙敗：生命 -6，心懷怨毒罪惡值 +3。,「主啊，不要將這罪歸於他們！」說了這話，就睡了。
REG1_TRL_04,私藏財物的虛偽誘惑,試煉,0,0,1,檢定：【信實良善】目標 12 點。｜成功：識破貪婪與偽善，維持團契聖潔。｜失敗：未辨欺瞞，城中 1 名未信者心門剛硬（需求門檻 +2）。,「你不是欺哄人，乃是欺哄神了！」
REG1_TRL_05,守望城牆的嚴寒夜巡,試煉,0,0,1,檢定：【節制克己】目標 10 點。｜成功：克制睡意與嚴寒，守護信徒安眠，全隊士氣高昂。｜失敗：受風寒侵蝕，肉身生命 -3 且下輪行動點 -1。,黑夜已深，白晝將近，我們應當脫去暗昧的行為，帶上光明的兵器。
REG1_TRL_06,狂暴暴民的圍攻辱罵,試煉,0,0,1,檢定：【溫柔謙卑】目標 10 點。｜成功：溫和的舌頭能折斷骨頭，群眾怒氣頓消四散。｜失敗：被激怒與群眾對罵，罪惡值 +3（憤怒），且 生命 -2。,回答柔和，使怒消退；言語暴戾，觸動怒氣。
REG1_TRL_07,連續跋涉的極限勞役,試煉,0,0,1,檢定：【喜樂熱心】目標 12 點。｜成功：心裡火熱常常服事，移開塌方巨石，開通道路並獲得 2 份物資！｜失敗：體力耗盡陷入怠惰，本輪無法執行傳道動作。,殷勤不可懶惰；要心裡火熱，常常服事主。
