item_id,name,category,specification,quantity,status,notes
COMP_01,使徒角色卡,卡牌,80x120mm 大尺寸厚卡 (350g 銅西卡過霧膜),8,已完成,8位使徒獨立角色（純真赤子、剛烈開路者、曠野守望者、撒瑪利亞良醫、巴拿巴、亞波羅、西拉、亞迦布）
COMP_02,靈性核心卡牌,卡牌,63x88mm 標準撲克規格 (300g 藍芯黑芯紙),44,已完成,包含 18 款屬靈恩賜卡 (32張)、4 款大能神蹟卡 (6張)、3 款罪惡誘惑卡 (6張)
COMP_03,旅程牌庫,卡牌,63x88mm 標準撲克規格 (300g 藍芯紙),26,已完成,包含 16 張旅程試煉 ＋ 10 張旅程事件，用於序章及跨區跋涉
COMP_04,第一區故鄉基石地區牌,卡牌,63x88mm 標準撲克規格 (300g 藍芯紙),51,已完成,包含 31 張遭遇牌（3災禍+16試煉+12事件）、16 張人民牌、4 張大能者牌
COMP_05,第一區地點卡,卡牌,80x120mm 大尺寸或橫版 (350g 厚卡),9,已完成,包含 4 張大能者專屬地點 ＋ 5 張自由地點（1+2 布置）
COMP_06,第二區異族荒原地區牌,卡牌,63x88mm 標準撲克規格 (300g 藍芯紙),51,已完成,包含 31 張遭遇牌、16 張人民牌（含水手與行商周遊同工）、4 張大能者牌
COMP_07,第二區地點卡,卡牌,80x120mm 大尺寸或橫版 (350g 厚卡),9,已完成,包含 4 張大能者據點 ＋ 5 張自由地點（撒瑪利亞、大馬士革、安提阿等）
COMP_08,第三區帝國巨城地區牌,卡牌,63x88mm 標準撲克規格 (300g 藍芯紙),51,已完成,包含 31 張遭遇牌、16 張市民牌（含亞居拉與非比周遊同工）、4 張大能者牌
COMP_09,第三區地點卡,卡牌,80x120mm 大尺寸或橫版 (350g 厚卡),9,已完成,包含 4 張大能者據點 ＋ 5 張自由地點（腓立比、雅典、以弗所、哥林多、羅馬）
COMP_10,終極罪惡墮落卡,卡牌,63x88mm 純黑特規卡背 (300g 黑芯紙),10,已完成,5款各2張，罪惡滿10點完全墮落時強制抽取
COMP_11,雙層開槽使徒個人圖板,圖板,A5 尺寸 210x148mm (雙層高密度灰板精密開槽),4,已確認,包含 0~20 HP與虔誠軌、7 條聖靈果子天平槽、恩賜槽與代幣池
COMP_12,中央時代進程與市場主圖板,圖板,對摺硬卡板 300x420mm (2mm 灰板覆膜),1,已確認,包含 1~10 輪次及 OT 11~15 軌、1+2 地點展位、災禍區、神蹟聖所、團契主席席
COMP_13,彩色空心透明果子環,配件標記,壓克力彩色透光空心環 (外徑14mm/內孔8mm),28,已確認,7項果子 x 4玩家，套在軌道上直觀框出使徒基礎天賦數值
COMP_14,純黑實心罪惡滑塊,配件標記,黑色啞光實木長方塊 (高精度卡入雙層槽),28,已確認,7項果子 x 4玩家，從右端向左推動遮擋數字，物理直觀阻斷天花板
COMP_15,肉身生命 心形指針,配件標記,深紅色實木雕刻心形標記,4,已確認,滑動於 0~20 肉身生命軌道
COMP_16,靈命 Piety 白鴿指針,配件標記,亮白色/天藍色實木雕刻白鴿標記,4,已確認,滑動於 0~20 靈命虔誠軌道，標示屬靈位階
COMP_17,使徒木質立牌/米寶,米寶立牌,客製化使徒造型實木米寶 (8種專屬造型),8,已確認,代表使徒在 1+2 活動地點之間穿梭移動
COMP_18,祈禱代幣,木質代幣,象牙白圓形木片 (直徑18mm/燙印雙翼和平鴿),40,已確認,放置於百姓與大能者卡上積累成全聖徒（平民5枚/大能者15枚）
COMP_19,代禱代幣,木質代幣,天藍色六角木片 (直徑16mm/印祈禱合十雙手),20,已確認,使徒間彼此發放代求，用於檢定+2、認罪加成與神蹟守候
COMP_20,聖徒榮耀金標,木質代幣,金色立體六角木塊 (直徑20mm/刻印光芒十架),20,已確認,覆蓋於成全聖徒卡上，永久激活專屬聖徒恩賜
COMP_21,神蹟信心火種標記,木質代幣,紅金色立體火焰木塊 (高約15mm),10,已確認,放置於大能神蹟卡上守候（滿 5 枚引爆大能神蹟）
COMP_22,迫切需要鎖頭標記,木質代幣,紫黑色雙色實木小鎖頭 (約12x15mm),15,已確認,放置於未滿足需要的人民卡上，象徵心門緊閉
COMP_23,日用糧食標記,物資代幣,立體小麵包/麥穗造型木塊 (棕黃色),30,已確認,每輪黃昏消耗 1 份/使徒；透過親手做工（織帳棚）與聖徒產出
COMP_24,第納里銀錢奉獻,物資代幣,仿古鋅合金金屬鑄幣 (直徑20mm/古羅馬紋樣),20,已確認,用於市集採購、替百姓還債與繳納過路稅金
COMP_25,日晷輪數標記,配件標記,木質雕刻日晷圓盤標記 (直徑25mm),1,已確認,記錄當前宣教輪次（1~10輪 及 超時輪次輪）
COMP_26,超時輪次沙漏標記,配件標記,黑色實木沙漏標記 (高約20mm),1,已確認,記錄進入超時輪次之累計次數
COMP_27,常規天意骰,骰子,16mm 象牙白天意骰 [0-0-1-1-2-2],8,已確認,常態基礎檢定骰（依使徒實際可用靈果值抓取對應顆數）
COMP_28,聖靈骰,骰子,16mm 純金天藍特規骰 [1-1-1-2-2-2] (神永不失敗),4,已確認,每達 5 點虔誠可將 1 顆天意骰升級為聖靈骰（最低保底1點，永不失敗）
COMP_29,罪惡骰,骰子,16mm 深淵黑底血紅字 [罪-罪-0-1-1-2] (罪的工價),4,已確認,對應罪惡每滿 2 點強制替換 1 顆罪骰！擲出【罪】該項罪惡值當場+1，滿10點當場完全墮落！優先覆蓋聖靈骰！
COMP_30,全彩官方規則手冊,出版品,16K / A4 規格 (16頁全彩騎馬釘裝訂),1,已完成,完整收錄世界觀、6步布置、回合流程、三色可用骰數天平、三區共鳴與超時結算
COMP_31,使徒行動快速指南卡,出版品,雙面過保護膜硬厚卡 (140x200mm),4,已完成,玩家隨手速查：3 個行動點 行動、三色可用骰數替換規則、地區共鳴與黃昏結算公式
COMP_32,使徒宣教歷史紀錄簿,出版品,可撕式膠裝記分單 (50頁雙色印刷),1,已完成,記錄玩家每場宣教年代、使徒陣容、團契名冊與終局榮耀冠冕星級
COMP_33,客製天地蓋包裝收納大盒,包裝盒,300x300x75mm 頂級硬禮盒 (含專屬吸塑內襯),1,已確認,特規分格收納 268 張卡牌、雙層板、木質代幣、三色特規骰與金屬幣
COMP_34,欺瞞者骰 (撒旦骰),擴充骰子,16mm 深淵紫黑特規六面骰 [2面謊言惡魔 / 4面平靜安息],1,已確認,可選模組【欺瞞者擴充】：使徒親近神前投擲，骰出謊言則遭遇阻撓
COMP_35,真理之盾代幣,擴充代幣,直徑18mm 聖金色六角木質代幣 (燙印真理十架藤牌),40,已確認,可選模組【欺瞞者擴充】：每成功親近神得1枚（永不消耗，上限10枚），用於識破謊言檢定加成


