id,name,type,cost,vp,count,description,flavor_text
REG2_DIS_01,大痲瘋瘟疫大爆發,災禍,0,0,1,持續災禍：全體使徒若未處於聖所或馬可樓，每輪黃昏需承受【節制克己】DC 10 檢定，失敗者染病扣 3 點 HP！,惡疾如野火般在城外隔離營蔓延，無人敢靠近，哀哭之聲直透雲霄。
REG2_DIS_02,猶太與撒瑪利亞世代血仇,災禍,0,0,1,持續災禍：兩族爆發暴力械鬥！全體使徒每輪行動點各 -1，且所有平民講道門檻全部 +4！,原來猶太人和撒瑪利亞人沒有來往，數百年來彼此仇恨唾棄。
REG2_DIS_03,行法術者的集體邪術蒙蔽,災禍,0,0,1,持續災禍：全城被巫術與法術蒙蔽心智，祈禱呼求大能神蹟所需信心代幣全部 +2！,西門在城裡行邪術，妄自尊大，使撒瑪利亞的百姓都驚奇。
REG2_TRL_01,雅各井旁的世仇爭辯,複合試煉,0,0,1,複合檢定：【溫柔謙卑】DC 12 ＋【恩慈憐憫】DC 10。｜雙過：破除百年民族芥蒂，引發全井平民歡呼，全隊虔誠 +3！｜失敗：被民族仇恨言論激怒，罪惡值 +3（憤怒）。,「你既是猶太人，怎麼向我一個撒瑪利亞婦人要水喝呢？」
REG2_TRL_02,觸摸大痲瘋患者的腐爛膿血,複合試煉,0,0,1,複合檢定：【仁愛施予】DC 12 ＋【節制克己】DC 10。｜雙過：大愛勝過恐懼與細菌，該患者當場痊癒，全隊虔誠 +4！｜失敗：心生厭惡退縮，被膿血噴濺感染，HP -4。,耶穌伸手摸他說：「我肯，你潔淨了吧！」他的大痲瘋立刻潔淨了。
REG2_TRL_03,巫術占卜女奴的尖銳騷擾,複合試煉,0,0,1,複合檢定：【信實良善】DC 12 ＋【和平忍耐】DC 10。｜雙過：奉主名驅逐占卜之靈，女奴得釋放，全隊獲 2 代禱代幣！｜失敗：使徒心煩意亂，下輪行動點 -1。,有一個使女迎面而來，她被巫鬼所附，用法術叫她主人們大得財利。
REG2_TRL_04,大馬士革路上的盲眼強光,複合試煉,0,0,1,複合檢定：【信實良善】DC 12 ＋【溫柔謙卑】DC 12。｜雙過：見證復活救主的大光，全隊靈命大振虔誠回滿！｜失敗：肉體被強光震懾盲眼 1 輪，本輪無法移動。,忽從天上發光，四面照著他；他就仆倒在地，聽見有聲音說：「掃羅！掃羅！你為什麼逼迫我？」
REG2_TRL_05,安提阿教會的外邦紛爭,複合試煉,0,0,1,複合檢定：【和平忍耐】DC 12 ＋【恩慈憐憫】DC 10。｜雙過：調解猶太與外邦信徒同席吃飯，教會大得平安！｜失敗：群體分裂互不相讓，全隊罪惡各 +1。,因有幾個人從雅各那裡來，磯法便退去與外邦人隔開了，其餘的猶太人也都隨著他裝假。
REG2_TRL_06,彼得房頂三見不潔大布,複合試煉,0,0,1,複合檢定：【信實良善】DC 12 ＋【溫柔謙卑】DC 10。｜雙過：領悟神所潔淨的不可當作俗物，外邦傳道 DC 永久 -2！｜失敗：恪守律法條規抗拒聖靈，虔誠 -3。,有聲音向他說：「彼得，起來，宰了吃！」彼得卻說：「主啊，這是不可的！」
REG2_TRL_07,異族長老的仇恨唾棄,試煉,0,0,1,檢定：【溫柔謙卑】DC 12。｜成功：甘心忍受唾罵，以善勝惡，長老慚愧離去。｜失敗：心生怨懟，罪惡值 +2（傲慢與憤怒）。,他們見使徒走進村莊，就拿起石頭吐唾沫咒詛他們。
REG2_TRL_08,基利心山祭司的偶像辯證,試煉,0,0,1,檢定：【信實良善】DC 12。｜成功：講明心靈與誠實的敬拜，折服老祭司！｜失敗：神學辯論卡關，該地點講道 DC +2。,「時候將到，你們拜父，也不在這山上，也不在耶路撒冷。」
REG2_TRL_09,加薩戈壁的滾滾沙暴,試煉,0,0,1,檢定：【節制克己】DC 12。｜成功：耐渴穩固帳篷，全隊無損。｜失敗：迷失方向脫水，HP -3 且損失 1 份糧食。,狂風席捲黃沙，天昏地暗，那條通往迦薩的路滿是死寂。
REG2_TRL_10,救助受染疫病者的感染恐懼,試煉,0,0,1,檢定：【仁愛施予】DC 12。｜成功：捨命包紮給水，感動全營病患！｜失敗：因恐懼不敢上前，失去 2 點虔誠力。,若有人看見弟兄受窮受病，卻塞住憐恤的心，愛神的心怎能存在他裡面呢？
REG2_TRL_11,敘利亞商隊的傲慢刁難,試煉,0,0,1,檢定：【和平忍耐】DC 10。｜成功：不卑不亢平息商隊管事戾氣，順利過境。｜失敗：被勒索高額通關費，損失 2 份物資。,商賈富足，僕從成群，看不起風塵僕僕的使徒。
REG2_TRL_12,曠野絕壁下的險惡開道,試煉,0,0,1,檢定：【喜樂熱心】DC 12。｜成功：揮鎬開鑿險路，護送全隊安全通行！｜失敗：體力透支，HP -3 且本輪無法傳道。,在曠野預備耶和華的路，在沙漠修平我們神的道。
REG2_TRL_13,荒原流浪孤兒的哀鳴,試煉,0,0,1,檢定：【恩慈憐憫】DC 10。｜成功：領至驛站救助，全隊虔誠 +3！｜失敗：匆忙趕路忽視孤兒，罪惡值 +2。,「凡為我的名接待一個像這小孩子的，就是接待我。」
REG2_TRL_14,黑夜沼澤中的毒蟲熱病,試煉,0,0,1,檢定：【節制克己】DC 10。｜成功：生火驅蟲安然度夜。｜失敗：使徒發高燒，HP -4 且本輪黃昏需雙倍糧食。,瘴氣瀰漫，毒蟲夜行，四圍滿是致命的死蔭。
REG2_TRL_15,假先知巴耶穌的抗拒阻撓,試煉,0,0,1,檢定：【信實良善】DC 14。｜成功：斥責邪術行徑，該假先知暫時眼瞎，全城轟動！｜失敗：省長受其挑撥，該區公署講道禁止 1 輪。,「你這充滿各樣詭詐奸惡，魔鬼的兒子，眾善的仇敵，你還不息滅嗎？」
REG2_TRL_16,為世仇仇敵包紮的內心掙扎,試煉,0,0,1,檢定：【仁愛施予】DC 12。｜成功：跨越深仇大恨親自敷油包紮，仇敵痛哭悔改！｜失敗：內心苦毒難以釋懷，罪惡值 +3（仇恨）。,「要愛你們的仇敵，為那逼迫你們的禱告。」
REG2_EVT_01,聖靈在撒瑪利亞大大降臨,事件,0,0,1,聖靈充滿：彼得約翰按手，全地信徒受聖靈！全體使徒虔誠 +4，本輪講道門檻全部 -3！,使徒按手在他們頭上，他們就受了聖靈。西門看見就驚奇。
REG2_EVT_02,腓利在加薩路上的聖靈提接,事件,0,0,1,神速奇遇：當前使徒瞬間跨越空間，免費移動至場上任意地點，且本輪額外獲得 1 個行動點！,主的靈把腓利提了去，太監也不再見他了，就歡歡喜喜的走路。
