id,name,type,cost,vp,count,description,flavor_text
JNY_TRL_01,加利利海的狂風巨浪,旅程試煉,0,0,1,複合檢定：【和平忍耐】目標 12 點 ＋【信實良善】目標 10 點。｜雙過：平息風浪，全隊虔誠 +3。｜失敗：船體受損，全隊各扣 3 點生命，且損失 2 份物資。,「夫子！我們喪命，你不顧嗎？」
JNY_TRL_02,曠野路遇強盜伏擊,旅程試煉,0,0,1,檢定：【喜樂熱心】目標 10 點（抗擊開路）或【仁愛施予】目標 10 點（捨財化險）。｜失敗：使徒受重傷 生命 -4，且損失 1 份重要物資。,落在強盜手中，他們剝去他的衣裳，把他打個半死。
JNY_TRL_03,毒蛇咬手的致命驚險,旅程試煉,0,0,1,檢定：【信實良善】目標 12 點。｜成功：甩蛇入火中絲毫無損，全隊靈命大振虔誠 +4！｜失敗：身中劇毒，肉身生命 -5 且陷入虛弱。,手被毒蛇咬住，土人想他必死，看見他毫無傷害，就轉念說他是個神！
JNY_TRL_04,烈日戈壁的斷水乾渴,旅程試煉,0,0,1,檢定：【節制克己】目標 10 點。｜成功：耐渴前行安然渡過。｜失敗：脫水虛脫，使徒生命 -3 且下輪行動點 -1。,在乾旱無水之地，我的心渴想你，我的肉體切慕你。
JNY_TRL_05,山洪暴發的渡河之險,旅程試煉,0,0,1,檢定：【喜樂熱心】目標 12 點 ＋【和平忍耐】目標 10 點。｜雙過：劈浪護送全隊安然渡河！｜失敗：被急流沖走，損失 2 份物資且每人扣 2 點生命。,大水氾濫的時候，耶和華坐著為王。
JNY_TRL_06,荒漠黑夜的毒蠍沙暴,旅程試煉,0,0,1,檢定：【溫柔謙卑】目標 10 點 ＋【節制克己】目標 10 點。｜雙過：伏於磐石穴中安然避風。｜失敗：受風沙撕扯且被毒蠍刺傷，生命 -3，虔誠 -2。,狂風大作，沙塵蔽日，天地都在震動。
JNY_TRL_07,陡峭絕壁的落石險道,旅程試煉,0,0,1,檢定：【和平忍耐】目標 12 點。｜成功：敏捷避開滾石，護全隊行李。｜失敗：被落石砸傷，使徒生命 -4。,他為你吩咐他的使者，在你看守你的一切道路。
JNY_TRL_08,嚴冬暴風雪的失溫考驗,旅程試煉,0,0,1,檢定：【節制克己】目標 12 點。｜成功：同心取暖抗住極寒。｜失敗：嚴重凍傷，生命 -4 且本輪黃昏需消耗雙倍糧食。,誰能當得起他的寒冷呢？他一出令，這些就都消化。
JNY_TRL_09,異教神龕的迷幻薰香,旅程試煉,0,0,1,檢定：【信實良善】目標 12 點（抗拒肉慾與虛妄香氣）。｜成功：斥責幻象守住聖潔。｜失敗：陷入迷夢，罪惡值 +3（色慾），且下輪行動點 -1。,路旁有異教女子歌唱，香氣迷人，引誘過路旅客轉向假神。
JNY_TRL_10,逃亡奴隸的暗中求助,旅程試煉,0,0,1,檢定：【仁愛施予】目標 10 點 ＋【恩慈憐憫】目標 10 點（阿尼西母式的相遇）。｜雙過：收留並帶領該奴隸歸主，全隊虔誠 +3！｜失敗：恐懼連累而冷漠驅趕，罪惡值 +2（自私）。,不再是奴僕，乃是高過奴僕，是親愛的弟兄。
JNY_TRL_11,邊境關卡的蠻橫盤查,旅程試煉,0,0,1,檢定：【溫柔謙卑】目標 12 點。｜成功：溫和回答化解暴戾，關卡守兵放行。｜失敗：被拘留扣押，全體使徒下輪行動點各 -1。,巡撫的兵丁在關隘盤查，勒索過路之人。
