id,name,type,cost,vp,count,description,flavor_text
CHR_01,純真赤子,角色,0,16,1,HP: 8 / 起始虔誠: 16。特質【赤子純真】：無法常規覺醒恩賜。守候神蹟常規充能 +1；隊友代禱額外多給 1 代幣。,「凡要承受神國的，若不像小孩子，斷不能進去。」
CHR_02,剛烈開路者,角色,0,8,1,HP: 18 / 起始虔誠: 8。特質【前鋒破障】：面對旅程與荒野試煉 DC -2；全隊免除一次飢餓扣血。,「看我一把開山斧，為主的道鋪平坦途！」
CHR_03,曠野守望者,角色,0,12,1,HP: 12 / 起始虔誠: 12。特質【守候之柱】：執行守候神蹟常規直接充能 2 枚信心代幣（他人 1 枚）。,「在寂靜的風沙中，我聽見微小的聲音。」
CHR_04,撒瑪利亞良醫,角色,0,10,1,HP: 14 / 起始虔誠: 10。特質【仁心療傷】：救治病患免除物資改以檢定化解；黃昏免費為隊友恢復 2 HP。,「願神憐憫的手，藉著我的指尖安慰你。」
CHR_05,勸慰之子巴拿巴,角色,0,12,1,HP: 14 / 起始虔誠: 12。特質【成全之手】：成全聖徒所需代幣永久 -1；每成全一人全隊各得 1 代禱代幣。,「賣了田產家業，一心堅固剛信主的弟兄。」
CHR_06,辯道學者亞波羅,角色,0,10,1,HP: 10 / 起始虔誠: 10。特質【無愧工人】：真理講道判定自動 +2；講道成功使另一位敞開者一同受洗。,「極有學問，在眾人面前引經據典極力駁倒頑固之人。」
CHR_07,讚美歌者西拉,角色,0,14,1,HP: 12 / 起始虔誠: 14。特質【午夜詩歌】：為人代禱自己額外得 1 代幣；同伴罪惡纏身每輪扣虔誠 -1。,「約在半夜，禱告唱詩讚美神，地大震動監門全開！」
CHR_08,異象先知亞迦布,角色,0,14,1,HP: 10 / 起始虔誠: 14。特質【先知預言】：晨更可密看地區牌堆頂部 2 張牌並調整順序或移底。,「被聖靈感動，預言將有大飢荒，使門徒及早防備。」
GFT_01,信心之盾,恩賜,0,0,2,數值置換：當你或身旁同伴即將失去肉身生命時，可消耗 2 點虔誠力完全抵擋該次傷害。,信就是所望之事的實底，是未見之事的確據。
GFT_02,大能的勇力,恩賜,0,0,2,判定減免：進行開路、移石或負重等【喜樂熱心】檢定時，難度門檻 (DC) 直接 -4。,我的力量是在人的軟弱上顯得完全。
GFT_03,恆切祈求,恩賜,0,0,2,神蹟加速：在守候蓄力大能神蹟時，每次守候行動額外免費充能 1 枚信心代幣。,要常常喜樂，不住地禱告，凡事謝恩。
GFT_04,萬國方言,恩賜,0,0,2,團隊光環：招募任何文化與種族的大使命同路人 (NPC) 時，直接免除判定條件。,聖靈降臨在他們身上，說出萬國的言語。
GFT_05,五餅二魚的祝福,恩賜,0,0,2,物資轉換：在物資結算階段，可將 2 點【仁愛施予】直接轉化為全隊所需的糧食補給。,在人這是不能的，在神凡事都能。
GFT_06,先知的洞察,恩賜,0,0,2,判定減免：在面對【色慾】或【傲慢】的誘惑事件時，檢定難度門檻直接 -4。,主的靈使我心眼明亮，識破仇敵的網羅。
GFT_07,禁食的恩膏,恩賜,0,0,2,罪惡抗性：執行親近靈修時，連帶消除自身 2 點罪惡值，且本輪免除一切飢餓判定。,「這一類的鬼，若不禱告禁食，他就不出來。」
GFT_08,彼此認罪之軛,恩賜,0,0,2,認罪強化：你執行認罪時，同地塊所有其他使徒可免費各自消除 1 點罪惡值。,「你們要彼此認罪，互相代求，使你們可以得醫治。」
GFT_09,基甸的羊毛,恩賜,0,0,1,靈命守護：若虔誠即將跌破 15 點時，可強制鎖定在 15 點不暗淡（每局限 1 次）。,「求你容我用羊毛再試一次。」
GFT_10,澆灌的甘霖,恩賜,0,0,2,代禱發放：執行為人代禱時，每位隊友各獲得 2 枚【代禱代幣】！,「我口中的言語要像細雨落下，如甘霖降在嫩草上。」
GFT_11,拔摩島的異象,恩賜,0,0,2,檢定減免：進行任何雙屬性複合試煉時，兩個屬性的 DC 門檻全部直接 -3！,「我聽見在天上有大聲音說：我神的國度都來到了！」
GFT_12,靈巧如蛇,恩賜,0,0,2,誘惑豁免：抽到誘惑卡時，可直接宣告識破並將其棄除，免除任何罪惡增長與判定。,「你們要靈巧像蛇，馴良像鴿子。」
GFT_13,聖殿的棟樑,恩賜,0,0,2,聖徒共鳴：本地教會每有 1 位成全聖徒，你所有聖靈果子檢定獲得被動 +1 加成！,「得勝的，我要叫他在我神殿中作柱子。」
GFT_14,初代大公宴,恩賜,0,0,1,愛宴供應：執行成全聖徒時，場上所有需求為【糧食/飢餓】的未歸主人民，立即自動滿足其需要！,「天天同心合意恆切的在殿裡，且在家中擘餅。」
GFT_15,以利亞的火車,恩賜,0,0,1,神蹟爆發：守候神蹟時，可一次消耗 3 枚代禱代幣，直接充能滿額立即引爆！,「忽有火車火馬將二人隔開，以利亞就乘旋風升天去了。」
GFT_16,保羅的刺,恩賜,0,0,2,逆境轉化：當你的肉身 HP 低於一半時，你的所有祈禱行動獲得雙倍效果（加 4 虔誠）。,「因我什麼時候軟弱，什麼時候就剛強了。」
GFT_17,亞居拉的帳棚,恩賜,0,0,2,旅程庇護：在 3 輪旅程階段中，全體使徒免疫強盜與風暴災害，且每輪產出 2 物資。,「他們本是製造帳棚為業，保羅因與他們同業就和他們同做工。」
GFT_18,真理的束腰,恩賜,0,0,1,墮落抗體：當身上任何罪惡達到 9 點時，罪惡被聖潔之鎖鎖定，永遠無法達 10 點！,「所以要站穩了，用真理當作帶子束腰。」
MRC_01,磐石出水,神蹟,0,5,2,大能神蹟（需蓄力 5 點信心代幣）。在極度乾旱之地湧出甘泉，全隊補滿水分與體力，恢復 6 點 HP！,他使磐石變為水池，使水泉從堅石流出。
MRC_02,天降嗎哪,神蹟,0,5,2,大能神蹟（需蓄力 5 點信心代幣）。立即產出 8 份天糧物資，並使全隊飢餓虛弱狀態全數解除！,清晨露水消逝之後，地面上留下了白色的甜餅。
MRC_03,烈火同行,神蹟,0,5,1,大能神蹟（需蓄力 5 點信心代幣）。全隊免疫一切環境致命烈火與瘴氣傷害，並驅散全圖黑暗恐怖！,火無能力傷他們的身體，頭髮也沒有燒焦。
MRC_04,紅海分開,神蹟,0,5,1,史詩神蹟（需蓄力 5 點信心代幣）。將阻隔去路的浩瀚汪洋完全分開，開闢出一條通天坦途！,大東風吹了一整夜，水便分開成了牆垣。
SIN_01,溫柔鄉的迷霧,誘惑,0,0,2,色慾誘惑：若屈服可立即獲得 3 點體力補給，但罪惡值 +4，且【信實】判定受阻。,看似香甜的蜜酒，裡頭藏著讓人忘卻誓約的毒。
SIN_02,巴別塔的狂妄,誘惑,0,0,2,傲慢誘惑：試圖靠血氣解決難關，成功率翻倍，但若失敗直接失去 4 點虔誠力。,我們要建造一座城和一座塔，塔頂通天，傳揚我們的名。
